    REF_GAIN    0.521074     1.23093    0.246226           2
        G800     572.857     1.35885     2999.05     76.3082           0
        G801     504.719     1.10049     4203.22     113.865           0
        G802     301.023     1.25346     3066.17      101.15           0
        G803     305.244     1.16551      3883.9     108.775           0
        G804     375.215     1.24271     4135.46     109.673           0
        G805     568.546     1.30254     4790.46     125.084           0
        G806     539.894     1.47819     2588.09     75.3223           0
        G807     543.065     1.57565     3527.62      94.814           0
        G808     555.931     1.23397     3450.36     91.2261           0
        G809     457.031     1.54415     1998.26       94.88           0
        G810     423.361     1.34348     2908.22     99.8186           0
        G811     411.117     1.42298     2672.07     86.7215           0
        G812     525.791     1.24716     4944.63     98.9981           0
        G813     462.979      1.3569     2735.46      83.651           0
        G814     416.834     1.43293     2192.85     61.6068           0
        G815     462.095     1.30656     3539.05     81.9488           0
        G816     538.267     1.38538     1885.89     62.5269           0
        G817     404.016     1.19408     4701.87     107.327           0
        G818     443.889     1.22904     2939.79      97.727           0
        G819      389.75     2.36257     2693.52     74.4951           0
        G820     520.888     1.28885      3807.3     108.053           0
        G821     590.402     1.24545     2635.53      92.363           0
        G822      420.62     1.19087     3118.73     115.116           0
        G823     305.534     1.45159     2656.45     84.6313           0
        G824     407.575     1.48258     2252.79      96.395           0
        G825     357.236     1.52122      1254.2     50.7353           0
        G826     557.405     1.41434     3210.55     97.0651           0
        G827     393.531     1.57588     3559.97     86.1983           0
        G828     435.872     1.16678     2236.63     76.0024           0
        G829      563.55     1.45265     4712.14     132.175           0
        G830     505.367     1.24179     4854.75     113.193           0
        G831     517.218     1.26057     2653.72     82.9831           0
        G832     361.081     1.11873      2168.7     65.8171           0
        G833      433.82     1.26056     2842.04     96.1647           0
        G834     424.363     1.20202     4030.35     107.798           0
        G835     459.529     1.36143     2468.43     66.3397           0
        G836      483.54     1.19551     3221.13     89.2274           0
        G837     553.673     1.33336     4550.64     99.8025           0
        G838     505.661     1.33891     2629.86     85.6055           0
        G839     555.284     1.25255     2142.68     78.3828           0
        G840      491.58     1.18329     2670.31      79.758           0
        G841     299.063      1.2834     2592.96     72.8109           0
        G842      470.18     1.37248      3860.3     106.345           0
        G843     383.148      1.2442     2920.05     77.4023           0
        G844     555.492     1.20905     3069.34     83.4468           0
        G845     479.819     1.42168     2776.47     73.9446           0
        G846     602.689      1.3794     3603.54      78.045           0
        G847     480.295     1.32137     1654.97     62.8028           0
        G848     443.981     1.22183     1725.61     48.3072           0
        G849     355.686     1.11928     4586.27     157.818           0
        G850     401.904     1.20277     3282.86     106.679           0
        G851     526.941     1.04075     3166.88     102.212           0
        G852     531.824     1.13534      3006.7     99.1606           0
        G853     335.839     1.43645     3123.25     103.207           0
        G854     358.269     1.42446     3875.62     103.171           0
        G855     369.789      1.3039     3507.98     84.1572           0
        G856     304.705     1.41236     3331.57     91.5198           0
        G857     459.591     1.41514      4184.5     95.2528           0
        G858      474.88     1.28416     5165.23     118.944           0
        G859     423.523      1.4115     4205.05     124.308           0
        G860     476.923     1.27297     3556.33     101.655           0
        G861     538.902     1.12323     3996.57       114.6           0
        G862     402.679     1.35316     4074.49     90.5131           0
